!	! ‼ ⁉ ❕ ❗
!!	!! ‼
#	# #️⃣
%	% 🔣
&	& 🔣
annoyed	annoyed 😖 🙍 🙍‍♂️ 🙍‍♀️
answer	answer 🟰
ant	ant 🐜
antarctica	antarctica 🐧 🇦🇶
antenna	antenna 📡 📶
anticlockwise	anticlockwise 🔄
antigua	antigua 🇦🇬
antlers	antlers 🫎
anxious	anxious 😟 😨 😰 😥 🫦
ape	ape 🦧
apocalypse	apocalypse 🧟 🧟‍♂️ 🧟‍♀️
apology	apology 🙇 🙇‍♂️ 🙇‍♀️
applause	applause 👏
apple	apple 🍎 🍏 🥧
application	application 🈸
appreciate	appreciate 🙏
apprehend	apprehend 👮 👮‍♂️ 👮‍♀️
approval	approval 👏
aquarium	aquarium 🪼
aquarius	aquarius 🏺 ♒
archer	archer 🏹 ♐
archery	archery 🏹
architect	architect 🧑‍💼 👨‍💼 👩‍💼
arctic	arctic 🐻‍❄️
arepa	arepa 🫓
argentina	argentina 🇦🇷
aries	aries 🐏 ♈
arm	arm 💪 🦾
armenia	armenia 🇦🇲
army	army 🪖
arrest	arrest 👮 👮‍♂️ 👮‍♀️
arrival	arrival 🛬
arrivals	arrivals 🛬
arrived	arrived 🚆 🚈 🛄
arriving	arriving 🛬
arrow	arrow 💘 📲 📩 🏹 ⬆ ↗ ➡ ↘ ⬇ ↙ ⬅ ↖ ↕ ↔ ↩ ↪ ⤴ ⤵ 🔃 🔄 🔙 🔚 🔛 🔜 🔝 🔀 🔁 🔂 ▶ ⏩ ⏭ ⏯ ◀ ⏪ ⏮ 🔼 ⏫ 🔽 ⏬
arrows	arrows 🔃 🔄
art	art 🎭 🖼 🎨
articulated	articulated 🚛
artist	artist 🧑‍🎨 👨‍🎨 👩‍🎨
arts	arts 🥋 🎭
artsy	artsy 🎨
arty	arty 🎨
aruba	aruba 🇦🇼
ascend	ascend 🪽 🐦‍🔥
ascension	ascension 🐦‍🔥
ascensionisland	ascensionisland 🇦🇨
ashes	ashes ⚱
asia	asia 🌏
asia-australia	asia-australia 🌏
ask	ask 🙏 🙇 🙇‍♂️ 🙇‍♀️
ass	ass 🫏
assassin	assassin 🥷
assembly	assembly 🧑‍🏭 👨‍🏭 👩‍🏭
assistance	assistance 🐕‍🦺
asterisk	asterisk ✳
astonished	astonished 😲
astronaut	astronaut 🧑‍🚀 👨‍🚀 👩‍🚀
astronomy	astronomy ⭐
at	at 🫵 🌆 🌉
atheist	atheist ⚛
athletic	athletic ⛹ ⛹️‍♂️ ⛹️‍♀️ 👟
athletics	athletics 🤾 🤾‍♂️ 🤾‍♀️ 🎽
atm	atm 🏧
atom	atom ⚛
attraction	attraction 🧲
aubergine	aubergine 🍆
australia	australia 🐨 🌏 🇦🇺
austria	austria 🇦🇹
auto	auto 🛺
automated	automated 🏧
automobile	automobile 🚗 🚘 🛻
autumn	autumn 🍂 🥮
aviation	aviation 🪽
avocado	avocado 🥑
award	award 🎖 🏅
away	away 💨
awe	awe 🫢 😒
awesome	awesome 😃 😛 😎 👌 👏 🎉
awful	awful 😔 😢 😞
awk	awk 😬
awkward	awkward 😐 😑 😶 😬 😳
aww	aww 🥹
ax	ax 🪓
axe	axe 🪓
azerbaijan	azerbaijan 🇦🇿
b	b 🅱
baa	baa 🐑
babe	babe 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
babies	babies 👶 🍼
babooshka	babooshka 🪆
baboushka	baboushka 🪆
babushka	babushka 🪆
baby	baby 👶 🤱 👩‍🍼 👨‍🍼 🧑‍🍼 👼 🐣 🐤 🐥 🚼
back	back 🥹 🤚 🚪 🔙
backhand	backhand 🤚 👈 👉 👆 👇
backpack	backpack 🎒
backpacking	backpacking 🎒 🥾
bacon	bacon 🐷 🐖 🥓
bacteria	bacteria 🦠 🧫
bactrian	bactrian 🐫
bad	bad 👎 🦹 🦹‍♂️ 🦹‍♀️
badge	badge 📛
badger	badger 🦡
badminton	badminton 🏸
bae	bae 😍 😘 😚 😒 🧑‍🤝‍🧑 👭 👫 👬 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
bag	bag 🧳 👜 👝 🛍 🎒 💰
bagel	bagel 🥯
baggage	baggage 🛄 🛅
bags	bags 🫩 🛍 🛄
baguette	baguette 🥖
bahamas	bahamas 🇧🇸
bahrain	bahrain 🇧🇭
bait	bait 🪤
bakery	bakery 🥯 🧁
balance	balance 🤹 🤹‍♂️ 🤹‍♀️ ⚖ ♎
balancing	balancing 🤹 🤹‍♂️ 🤹‍♀️
bald	bald 👨‍🦲 👩‍🦲 🧑‍🦲 👴
ball	ball 🏌 🏌️‍♂️ 🏌️‍♀️ ⛹ ⛹️‍♂️ ⛹️‍♀️ 🤾 🤾‍♂️ 🤾‍♀️ 🍙 🎊 ⚽ ⚾ 🥎 🏀 🏐 🏈 🏉 🎾 🎳 🏏 🏑 🥍 🏓 🎱 🔮 🪩 🧶
ballet	ballet 🥿 🩰
balloon	balloon 💬 👁️‍🗨️ 🗯 💭 🎈
ballot	ballot 🗳 ☑
ballpoint	ballpoint 🖊
bamboo	bamboo 🐼 🎍
banana	banana 🐵 🐒 🍌
band	band 🪈
bandage	bandage 🤕 🩹
bandana	bandana 🧕
bangbang	bangbang ‼
bangladesh	bangladesh 🇧🇩
banjo	banjo 🪕
bank	bank 🏦 💰 💴 💵 💶 💷 💸 💳 💹 🏧 💱
banknote	banknote 💴 💵 💶 💷 💸
banner	banner 🎋
bar	bar 🍫 🍶 🍾 🍷 🍸 🍹 🍺 🍻 🏮 📊 🧼 ⏸ 📶
barbados	barbados 🇧🇧
barbell	barbell 🏋 🏋️‍♂️ 🏋️‍♀️
barber	barber 💇 💇‍♂️ 💇‍♀️ 💈
barbuda	barbuda 🇦🇬
bare	bare 🪾
barefoot	barefoot 👣
barf	barf 🤮
bargain	bargain 🉐
barrel	barrel 🍯
barren	barren 🪾
barrier	barrier 🚧
bars	bars 📶
baseball	baseball ⚾ 🧢
baseballcap	baseballcap 🧢
basket	basket 🧺
basketball	basketball ⛹ ⛹️‍♂️ ⛹️‍♀️ 🏀
bat	bat 🦇 🏏 🏓
bath	bath 🛀 🛁
bathing	bathing 🩱 🩲 🩳 👙 🧼
bathroom	bathroom 🚽 🪥 🚹 🚺 🚻 🚾
bathtub	bathtub 🛀 🛁
battery	battery 🔋 🪫
bawling	bawling 😭
bday	bday 🥳 🎂
beach	beach 😎 🏄 🏄‍♂️ 🏄‍♀️ 🐳 🐋 🐬 🐚 🌴 🏖 🌞 👙 🩴
beacon	beacon 🚨
bead	bead 🧿
beads	beads 📿
beak	beak 🐦‍⬛
beaming	beaming 😁
beans	beans 🫘 🫛
beanstalk	beanstalk 🫛
bear	bear 🐻 🐻‍❄️ 🐨 🍯 🧸
beard	beard 🧔 🧔‍♂️ 🧔‍♀️
bearded	bearded 🧔 🧔‍♂️ 🧔‍♀️
bearer	bearer 🐍 ♒ ⛎
beast	beast 💪
beat	beat 🫀 🪘
beating	beating 💓
beauty	beauty 👄 💇 💇‍♂️ 💇‍♀️ 🪷 🌹
beaver	beaver 🦫
beckon	beckon 🫴
bed	bed 😴 🛌 🛏
bedtime	bedtime 😴 🥱 🛌
bee	bee 🐝
beer	beer 🫚 🍺 🍻
beet	beet 🫜
beetle	beetle 🪲 🐞
befuddled	befuddled 😕
beg	beg 🙏 🙇 🙇‍♂️ 🙇‍♀️
begging	begging 🥺
beginner	beginner 🔰
behind	behind ⛅ 🌤 🌥 🌦
belarus	belarus 🇧🇾
belgium	belgium 🇧🇪
believe	believe 😮
belize	belize 🇧🇿
bell	bell 🫑 🛎 🎐 🔔 🔕
bellhop	bellhop 🛎
belly	belly 🫃 🫄
bench	bench 💪
benin	benin 🇧🇯
bent	bent 🦵 🧢
bento	bento 🍱
bermuda	bermuda 🇧🇲
berries	berries 🍒 🫐
berry	berry 🍓 🫐
bestest	bestest 💜
bestie	bestie 👯 👯‍♂️ 👯‍♀️ 🧑‍🤝‍🧑 👭 👫 👬
bet	bet 👌 💰
beverage	beverage ☕ 🍵 🍶 🍷 🧃
bewhiskered	bewhiskered 🧔
bewilder	bewilder 🤦 🤦‍♂️ 🤦‍♀️
bff	bff 👯 👯‍♂️ 👯‍♀️ 🧑‍🤝‍🧑 👭 👫 👬 👥
bhutan	bhutan 🇧🇹
biceps	biceps 💪
bicycle	bicycle 🚴 🚴‍♂️ 🚴‍♀️ 🚵 🚵‍♂️ 🚵‍♀️ 🚲 🚳
bicycles	bicycles 🚳
bicyclist	bicyclist 🚴 🚴‍♂️ 🚴‍♀️ 🚵 🚵‍♂️ 🚵‍♀️
big	big 😃 😒 🥺 🐯 🐅 🐆
bike	bike 🚴 🚴‍♂️ 🚴‍♀️ 🚵 🚵‍♂️ 🚵‍♀️ 🚲 🔐 🚳
biking	biking 🚴 🚴‍♂️ 🚴‍♀️ 🚵 🚵‍♂️ 🚵‍♀️
bikini	bikini 👙
bilberry	bilberry 🫐
bill	bill 💴 💵 💶 💷 💸
billed	billed 🧢
billiard	billiard 🎱
billion	billion 💰 💷 💸 💲
billionaire	billionaire 🚤
bin	bin 🚮
biohazard	biohazard ☣
biologist	biologist 🧑‍🔬 👨‍🔬 👩‍🔬 🧫 🧬
biology	biology 🧫
bird	bird 🦃 🐔 🐓 🐣 🐤 🐥 🐦 🐧 🕊 🦅 🦆 🦢 🦉 🦤 🪶 🦩 🦚 🦜 🪽 🐦‍⬛ 🪿 🪺
birdie	birdie 🏌 🏌️‍♂️ 🏌️‍♀️ 🏸
birth	birth 🍼
birthday	birthday 🥳 💐 🎂 🎈 🎉 🎁
bisexual	bisexual 🏳️‍🌈
bison	bison 🦬
bisque	bisque 🦞
bit	bit 🤏
bite	bite 🫦 🦟
biting	biting 🫦
black	black 🖤 🐈‍⬛ 🐦‍⬛ ✒ ⚫ ◼ ◾ ▪ 🔲 🏴
blades	blades 🛼
blame	blame 😨 😞 😠
blank	blank 😐 😶
bleed	bleed 🩸
bless	bless ⛪
blessed	blessed 😇 🙏
blind	blind 🧑‍🦯 🧑‍🦯‍➡️ 👨‍🦯 👨‍🦯‍➡️ 👩‍🦯 👩‍🦯‍➡️ 🦮
bloated	bloated 🫃 🫄
block	block 🫷 🫸
blond	blond 👱 👱‍♀️ 👱‍♂️
blond-haired	blond-haired 👱 👱‍♀️ 👱‍♂️
blonde	blonde 👱‍♀️
blood	blood 🧛 🧛‍♂️ 🧛‍♀️ 🩸 🅰 🆎 🅱 🅾
bloom	bloom 🪻
blossom	blossom 🌸 🌼 🌷
blouse	blouse 👚
blow	blow 😮‍💨 🍃 🌬
blowfish	blowfish 🐡
blowing	blowing 😘 😮‍💨
blown	blown 🤯
blu-ray	blu-ray 💿 📀
